Year,School,Total,Male,Female,Type,Ownership
103,中原大學,442,372,70,General,Private
103,中國文化大學,459,396,63,General,Private
103,中國科技大學,178,170,8,Tech,Private
103,中華大學,393,341,52,General,Private
103,中華科技大學,348,316,32,Tech,Private
103,亞洲大學,378,345,33,General,Private
103,健行科技大學,869,799,70,Tech,Private
103,元培醫事科技大學,287,274,13,Tech,Private
103,南榮科技大學,13,13,0,Tech,Private
103,南臺科技大學,466,421,45,Tech,Private
103,南華大學,237,201,36,General,Private
103,吳鳳科技大學,193,181,12,Tech,Private
103,和春技術學院,64,62,2,Tech,Private
103,國立中央大學,441,364,77,General,Public
103,國立中山大學,213,176,37,General,Public
103,國立中正大學,395,328,67,General,Public
103,國立勤益科技大學,446,409,37,Tech,Public
103,國立嘉義大學,204,179,25,General,Public
103,國立宜蘭大學,175,149,26,General,Public
103,國立屏東大學,213,194,19,General,Public
103,國立彰化師範大學,162,128,34,General,Public
103,國立成功大學,435,353,82,General,Public
103,國立暨南國際大學,217,166,51,General,Public
103,國立東華大學,192,154,38,General,Public
103,國立清華大學,534,418,116,General,Public
103,國立澎湖科技大學,193,181,12,Tech,Public
103,國立聯合大學,196,165,31,General,Public
103,國立臺中教育大學,206,162,44,General,Public
103,國立臺中科技大學,206,185,21,Tech,Public
103,國立臺北大學,196,156,40,General,Public
103,國立臺北科技大學,207,184,23,Tech,Public
103,國立臺南大學,157,124,33,General,Public
103,國立臺東大學,366,292,74,General,Public
103,國立臺灣大學,500,418,82,General,Public
103,國立臺灣海洋大學,459,389,70,General,Public
103,國立臺灣科技大學,231,206,25,Tech,Public
103,國立虎尾科技大學,428,397,31,Tech,Public
103,國立金門大學,189,157,32,General,Public
103,國立陽明交通大學,781,604,177,General,Public
103,國立雲林科技大學,249,231,18,Tech,Public
103,國立高雄大學,168,140,28,General,Public
103,國立高雄科技大學,221,201,20,Tech,Public
103,大仁科技大學,100,98,2,Tech,Private
103,大同大學,412,344,68,General,Private
103,大葉大學,281,252,29,General,Private
103,崑山科技大學,405,376,29,Tech,Private
103,宏國德霖科技大學,288,279,9,Tech,Private
103,明新科技大學,482,446,36,Tech,Private
103,景文科技大學,197,179,18,Tech,Private
103,朝陽科技大學,481,459,22,Tech,Private
103,東海大學,509,385,124,General,Private
103,南亞技術學院,217,210,7,Tech,Private
103,樹德科技大學,436,397,39,Tech,Private
103,正修科技大學,449,421,28,Tech,Private
103,真理大學,360,295,65,General,Private
103,義守大學,545,483,62,General,Private
103,聖約翰科技大學,449,429,20,Tech,Private
103,臺北城市科技大學,519,503,16,Tech,Private
103,華夏科技大學,323,308,15,Tech,Private
103,萬能科技大學,354,339,15,Tech,Private
103,輔仁大學,500,436,64,General,Private
103,逢甲大學,849,749,100,General,Private
103,遠東科技大學,400,383,17,Tech,Private
103,長榮大學,313,269,44,General,Private
103,靜宜大學,438,376,62,General,Private
104,中原大學,429,362,67,General,Private
104,中國文化大學,483,424,59,General,Private
104,中國科技大學,159,149,10,Tech,Private
104,中華大學,401,356,45,General,Private
104,中華科技大學,298,266,32,Tech,Private
104,亞洲大學,367,332,35,General,Private
104,健行科技大學,795,731,64,Tech,Private
104,元培醫事科技大學,211,205,6,Tech,Private
104,元智大學,656,531,125,General,Private
104,南榮科技大學,3,3,0,Tech,Private
104,南臺科技大學,450,406,44,Tech,Private
104,南華大學,269,238,31,General,Private
104,吳鳳科技大學,172,157,15,Tech,Private
104,和春技術學院,48,46,2,Tech,Private
104,國立中央大學,456,374,82,General,Public
104,國立中山大學,220,190,30,General,Public
104,國立中正大學,381,326,55,General,Public
104,國立勤益科技大學,488,455,33,Tech,Public
104,國立嘉義大學,205,182,23,General,Public
104,國立宜蘭大學,185,167,18,General,Public
104,國立屏東大學,222,203,19,General,Public
104,國立彰化師範大學,162,127,35,General,Public
104,國立成功大學,445,359,86,General,Public
104,國立暨南國際大學,228,169,59,General,Public
104,國立東華大學,281,222,59,General,Public
104,國立清華大學,558,451,107,General,Public
104,國立澎湖科技大學,192,179,13,Tech,Public
104,國立聯合大學,178,153,25,General,Public
104,國立臺中教育大學,199,160,39,General,Public
104,國立臺中科技大學,205,191,14,Tech,Public
104,國立臺北大學,193,157,36,General,Public
104,國立臺北科技大學,209,182,27,Tech,Public
104,國立臺南大學,166,129,37,General,Public
104,國立臺東大學,367,296,71,General,Public
104,國立臺灣大學,511,439,72,General,Public
104,國立臺灣師範大學,185,134,51,General,Public
104,國立臺灣海洋大學,472,391,81,General,Public
104,國立臺灣科技大學,247,217,30,Tech,Public
104,國立虎尾科技大學,414,382,32,Tech,Public
104,國立金門大學,185,159,26,General,Public
104,國立陽明交通大學,789,623,166,General,Public
104,國立雲林科技大學,245,226,19,Tech,Public
104,國立高雄大學,174,150,24,General,Public
104,國立高雄科技大學,231,214,17,Tech,Public
104,大同大學,411,349,62,General,Private
104,大葉大學,231,209,22,General,Private
104,崑山科技大學,379,352,27,Tech,Private
104,弘光科技大學,341,330,11,Tech,Private
104,宏國德霖科技大學,261,254,7,Tech,Private
104,明新科技大學,462,425,37,Tech,Private
104,景文科技大學,187,176,11,Tech,Private
104,朝陽科技大學,498,478,20,Tech,Private
104,東海大學,515,396,119,General,Private
104,南亞技術學院,135,133,2,Tech,Private
104,樹德科技大學,437,402,35,Tech,Private
104,正修科技大學,431,403,28,Tech,Private
104,淡江大學,794,680,114,General,Private
104,真理大學,366,291,75,General,Private
104,義守大學,504,453,51,General,Private
104,聖約翰科技大學,423,400,23,Tech,Private
104,臺北城市科技大學,498,481,17,Tech,Private
104,華夏科技大學,305,294,11,Tech,Private
104,萬能科技大學,339,318,21,Tech,Private
104,輔仁大學,505,425,80,General,Private
104,逢甲大學,858,763,95,General,Private
104,遠東科技大學,346,335,11,Tech,Private
104,銘傳大學,430,352,78,General,Private
104,長庚大學,225,172,53,General,Private
104,長榮大學,317,276,41,General,Private
104,靜宜大學,456,382,74,General,Private
105,中原大學,444,376,68,General,Private
105,中國文化大學,465,406,59,General,Private
105,中國科技大學,146,134,12,Tech,Private
105,中華科技大學,202,175,27,Tech,Private
105,健行科技大學,653,610,43,Tech,Private
105,元智大學,630,511,119,General,Private
105,南亞技術學院,114,110,4,Tech,Private
105,南臺科技大學,447,403,44,Tech,Private
105,南華大學,248,216,32,General,Private
105,吳鳳科技大學,150,138,12,Tech,Private
105,和春技術學院,47,33,14,Tech,Private
105,國立中央大學,475,383,92,General,Public
105,國立中山大學,234,200,34,General,Public
105,國立中正大學,385,332,53,General,Public
105,國立勤益科技大學,525,486,39,Tech,Public
105,國立嘉義大學,212,184,28,General,Public
105,國立宜蘭大學,189,170,19,General,Public
105,國立屏東大學,229,208,21,General,Public
105,國立彰化師範大學,162,128,34,General,Public
105,國立成功大學,461,355,106,General,Public
105,國立暨南國際大學,232,179,53,General,Public
105,國立清華大學,565,445,120,General,Public
105,國立澎湖科技大學,198,180,18,Tech,Public
105,國立聯合大學,176,154,22,General,Public
105,國立臺中教育大學,198,163,35,General,Public
105,國立臺中科技大學,205,191,14,Tech,Public
105,國立臺北大學,200,153,47,General,Public
105,國立臺北科技大學,204,176,28,Tech,Public
105,國立臺南大學,161,124,37,General,Public
105,國立臺東大學,350,286,64,General,Public
105,國立臺灣大學,520,455,65,General,Public
105,國立臺灣師範大學,193,149,44,General,Public
105,國立臺灣海洋大學,464,385,79,General,Public
105,國立臺灣科技大學,265,230,35,Tech,Public
105,國立虎尾科技大學,426,395,31,Tech,Public
105,國立金門大學,183,163,20,General,Public
105,國立雲林科技大學,244,221,23,Tech,Public
105,國立高雄大學,180,152,28,General,Public
105,國立高雄科技大學,238,221,17,Tech,Public
105,大同大學,437,356,81,General,Private
105,大葉大學,215,197,18,General,Private
105,崑山科技大學,359,335,24,Tech,Private
105,弘光科技大學,345,333,12,Tech,Private
105,宏國德霖科技大學,229,222,7,Tech,Private
105,明新科技大學,463,427,36,Tech,Private
105,景文科技大學,166,158,8,Tech,Private
105,朝陽科技大學,493,469,24,Tech,Private
105,樹德科技大學,437,399,38,Tech,Private
105,正修科技大學,429,411,18,Tech,Private
105,淡江大學,765,646,119,General,Private
105,真理大學,344,271,73,General,Private
105,義守大學,477,429,48,General,Private
105,聖約翰科技大學,340,325,15,Tech,Private
105,臺北城市科技大學,451,437,14,Tech,Private
105,華夏科技大學,252,248,4,Tech,Private
105,萬能科技大學,286,265,21,Tech,Private
105,輔仁大學,485,399,86,General,Private
105,逢甲大學,929,827,102,General,Private
105,遠東科技大學,312,301,11,Tech,Private
105,銘傳大學,428,344,84,General,Private
105,長庚大學,232,179,53,General,Private
105,長榮大學,279,239,40,General,Private
105,靜宜大學,439,365,74,General,Private
106,中原大學,456,385,71,General,Private
106,中國文化大學,485,431,54,General,Private
106,中國科技大學,117,106,11,Tech,Private
106,中華大學,386,334,52,General,Private
106,中華科技大學,134,113,21,Tech,Private
106,亞洲大學,345,303,42,General,Private
106,健行科技大學,578,542,36,Tech,Private
106,元智大學,632,506,126,General,Private
106,南亞技術學院,91,87,4,Tech,Private
106,南臺科技大學,445,403,42,Tech,Private
106,南華大學,239,209,30,General,Private
106,吳鳳科技大學,138,124,14,Tech,Private
106,和春技術學院,14,14,0,Tech,Private
106,國立中央大學,475,370,105,General,Public
106,國立中山大學,235,196,39,General,Public
106,國立中正大學,386,326,60,General,Public
106,國立勤益科技大學,578,533,45,Tech,Public
106,國立嘉義大學,206,170,36,General,Public
106,國立宜蘭大學,190,170,20,General,Public
106,國立屏東大學,225,200,25,General,Public
106,國立彰化師範大學,174,135,39,General,Public
106,國立成功大學,460,350,110,General,Public
106,國立暨南國際大學,234,186,48,General,Public
106,國立東華大學,314,245,69,General,Public
106,國立清華大學,579,453,126,General,Public
106,國立澎湖科技大學,200,186,14,Tech,Public
106,國立聯合大學,168,150,18,General,Public
106,國立臺中教育大學,195,154,41,General,Public
106,國立臺中科技大學,221,206,15,Tech,Public
106,國立臺北大學,199,155,44,General,Public
106,國立臺北科技大學,202,176,26,Tech,Public
106,國立臺南大學,168,127,41,General,Public
106,國立臺東大學,364,304,60,General,Public
106,國立臺灣大學,526,461,65,General,Public
106,國立臺灣師範大學,202,164,38,General,Public
106,國立臺灣海洋大學,463,379,84,General,Public
106,國立臺灣科技大學,291,256,35,Tech,Public
106,國立虎尾科技大學,426,398,28,Tech,Public
106,國立金門大學,179,154,25,General,Public
106,國立陽明交通大學,797,643,154,General,Public
106,國立雲林科技大學,259,233,26,Tech,Public
106,國立高雄大學,173,138,35,General,Public
106,大同大學,435,346,89,General,Private
106,大葉大學,189,178,11,General,Private
106,宏國德霖科技大學,206,201,5,Tech,Private
106,崑山科技大學,313,293,20,Tech,Private
106,弘光科技大學,308,294,14,Tech,Private
106,明新科技大學,481,439,42,Tech,Private
106,景文科技大學,163,156,7,Tech,Private
106,朝陽科技大學,491,471,20,Tech,Private
106,東海大學,521,389,132,General,Private
106,樹德科技大學,379,353,26,Tech,Private
106,正修科技大學,474,425,49,Tech,Private
106,淡江大學,735,630,105,General,Private
106,真理大學,312,245,67,General,Private
106,義守大學,425,379,46,General,Private
106,聖約翰科技大學,242,224,18,Tech,Private
106,臺北城市科技大學,447,428,19,Tech,Private
106,華夏科技大學,246,233,13,Tech,Private
106,萬能科技大學,247,233,14,Tech,Private
106,輔仁大學,484,396,88,General,Private
106,逢甲大學,932,797,135,General,Private
106,遠東科技大學,245,233,12,Tech,Private
106,銘傳大學,444,364,80,General,Private
106,長庚大學,234,178,56,General,Private
106,長榮大學,242,216,26,General,Private
106,靜宜大學,447,367,80,General,Private
107,中原大學,473,386,87,General,Private
107,中國文化大學,451,404,47,General,Private
107,中國科技大學,113,99,14,Tech,Private
107,中華大學,391,343,48,General,Private
107,中華科技大學,53,47,6,Tech,Private
107,亞洲大學,334,294,40,General,Private
