學校代碼,學校名稱,科系代碼,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,3,3,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,4,8,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,28,41,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,6,10,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,12,15,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,0,10,30 臺北市,1 一般
0001,國立政治大學,01131002,華語文教學博士學位學程,D 日,D 博士,0,2,30 臺北市,1 一般
0001,國立政治大學,01131002,華語文教學碩士學位學程,D 日,M 碩士,0,7,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,5,1,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,3,7,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,4,0,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,4,5,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,26,20,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,3,1,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,2,6,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,5,1,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,2,9,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,7,27,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,4,0,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,4,2,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,15,18,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,0,3,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,1,7,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,11,53,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,0,5,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,2,3,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,8,26,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,15,22,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,1,1,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,4,39,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,5,19,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,9,66,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,2,0,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,11,37,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,1,4,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,3,5,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,4,8,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,18,60,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,1,7,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,1,4,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,0,8,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,2,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,31,12,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,52,49,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,9,7,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,14,5,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,15,27,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,16,3,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,11,13,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,16,36,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,16,8,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,8,8,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,0,1,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,6,13,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,24,35,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,3,5,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,1,1,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,7,7,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,18,24,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,5,3,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,2,4,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,6,5,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,17,26,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,2,2,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,8,8,30 臺北市,1 一般
0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,9,8,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,9,24,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播學士學位學程,D 日,B 學士,5,19,30 臺北市,1 一般
0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,3,9,30 臺北市,1 一般
0001,國立政治大學,03211052,廣播電視學系,D 日,M 碩士,0,8,30 臺北市,1 一般
0001,國立政治大學,03211052,廣播電視學系,D 日,B 學士,12,36,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,5,8,30 臺北市,1 一般
0001,國立政治大學,03212051,新聞學系,D 日,D 博士,2,0,30 臺北市,1 一般
0001,國立政治大學,03212051,新聞學系,D 日,M 碩士,0,8,30 臺北市,1 一般
0001,國立政治大學,03212051,新聞學系,D 日,B 學士,21,72,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,1,2,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,5,11,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,4,14,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,D 博士,0,1,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,M 碩士,22,40,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,B 學士,27,81,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,M 碩士,23,14,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,B 學士,21,29,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,D 博士,2,1,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,M 碩士,21,14,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,B 學士,30,32,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,M 碩士,14,14,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,B 學士,31,79,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,M 碩士,15,12,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,B 學士,22,31,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,D 博士,2,0,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),D 日,M 碩士,40,55,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,B 學士,39,59,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程全球台商班,N 職,M 碩士,21,11,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程高階經營班,N 職,M 碩士,90,61,30 臺北市,1 一般
0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,D 日,M 碩士,27,21,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,D 博士,2,0,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,M 碩士,1,17,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,B 學士,12,31,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程,N 職,M 碩士,19,45,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,M 碩士,18,15,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,B 學士,60,58,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,N 職,M 碩士,12,6,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,M 碩士,16,23,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,B 學士,31,50,30 臺北市,1 一般
0001,國立政治大學,04143055,廣告學系,D 日,M 碩士,1,1,30 臺北市,1 一般
0001,國立政治大學,04143055,廣告學系,D 日,B 學士,8,37,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,D 博士,0,1,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,M 碩士,21,23,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,M 碩士,27,46,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,B 學士,93,92,30 臺北市,1 一般
0001,國立政治大學,04211075,法學院碩士在職專班,N 職,M 碩士,18,16,30 臺北市,1 一般
0001,國立政治大學,04212074,法律科際整合研究所,D 日,M 碩士,12,16,30 臺北市,1 一般
0001,國立政治大學,05331077,應用物理研究所,D 日,M 碩士,12,2,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,M 碩士,5,2,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,B 學士,29,7,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,M 碩士,24,7,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,B 學士,29,24,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,D 博士,4,0,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,M 碩士,27,12,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,B 學士,47,24,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,M 碩士,21,6,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,B 學士,35,10,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,N 職,M 碩士,12,1,30 臺北市,1 一般
0001,國立政治大學,06134057,數位內容碩士學位學程,D 日,M 碩士,4,7,30 臺北市,1 一般
0001,國立政治大學,09121083,神經科學研究所,D 日,M 碩士,2,1,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,M 碩士,4,12,30 臺北市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,D 博士,7,3,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,M 碩士,7,27,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,B 學士,19,68,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系馬?西亞境外碩士在職專班,N 職,M 碩士,2,7,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,5,14,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系課程與教學碩士在職專班(暑期班),N 職,M 碩士,1,10,18 新竹市,1 一般
0002,國立清華大學,01112083,人力資源與數位學習科技研究所,D 日,M 碩士,6,12,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,M 碩士,0,11,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,B 學士,5,34,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,M 碩士,1,10,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,B 學士,5,73,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,N 職,M 碩士,0,3,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系幼兒園教師碩士在職專班,N 職,M 碩士,0,1,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,D 日,M 碩士,4,10,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,N 職,M 碩士,0,4,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所科學教育教師碩士在職專班,N 職,M 碩士,1,1,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所數學教育教師碩士在職專班,N 職,M 碩士,1,0,18 新竹市,1 一般
0002,國立清華大學,01131105,英語教學系,D 日,B 學士,6,26,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系,D 日,M 碩士,9,4,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系,D 日,B 學士,19,16,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系體育碩士在職專班,N 職,M 碩士,4,4,18 新竹市,1 一般
0002,國立清華大學,01141098,藝術與設計學系美勞教師碩士在職專班,N 職,M 碩士,0,17,18 新竹市,1 一般
0002,國立清華大學,01141098,藝術與設計學系造形藝術碩士在職專班,N 職,M 碩士,0,1,18 新竹市,1 一般
0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,D 日,M 碩士,4,13,18 新竹市,1 一般
0002,國立清華大學,02131098,藝術與設計學系,D 日,B 學士,17,54,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系,D 日,M 碩士,0,6,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系,D 日,B 學士,5,30,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系音樂教師碩士在職專班,N 職,M 碩士,0,5,18 新竹市,1 一般
0002,國立清華大學,02221006,歷史研究所,D 日,D 博士,2,0,18 新竹市,1 一般
0002,國立清華大學,02221006,歷史研究所,D 日,M 碩士,5,5,18 新竹市,1 一般
0002,國立清華大學,02222007,人類學研究所,D 日,D 博士,0,1,18 新竹市,1 一般
0002,國立清華大學,02222007,人類學研究所,D 日,M 碩士,3,2,18 新竹市,1 一般
0002,國立清華大學,02231008,哲學研究所,D 日,M 碩士,2,2,18 新竹市,1 一般
0002,國立清華大學,02299010,人文社會學院學士班,D 日,B 學士,26,42,18 新竹市,1 一般
0002,國立清華大學,02311002,外國語文學系,D 日,M 碩士,1,5,18 新竹市,1 一般
