學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,男生計,女生計,總計
1,國立政治大學,01111001,教育學系,D 日,D 博士,9,13,6,16,9,13,12,5,6,5,7,5,3,2,0,0,30 臺北市,1 一般,52,59,111
1,國立政治大學,01111001,教育學系,D 日,M 碩士,6,10,1,13,4,4,3,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,14,31,45
1,國立政治大學,01111001,教育學系,D 日,B 學士,16,41,14,39,17,32,19,42,0,0,0,0,0,0,5,14,30 臺北市,1 一般,71,168,239
1,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,7,12,5,5,2,6,2,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,16,30,46
1,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,5,17,5,14,7,13,7,6,2,5,0,0,0,0,0,0,30 臺北市,1 一般,26,55,81
1,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,1,10,1,5,2,9,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般,5,25,30
1,國立政治大學,02211019,宗教研究所,D 日,D 博士,3,1,1,2,4,2,4,2,3,4,1,1,3,1,0,0,30 臺北市,1 一般,19,13,32
1,國立政治大學,02211019,宗教研究所,D 日,M 碩士,0,5,8,6,1,3,3,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,12,16,28
1,國立政治大學,02221020,歷史學系,D 日,D 博士,1,4,5,1,2,2,1,2,1,1,3,1,6,1,0,0,30 臺北市,1 一般,19,12,31
1,國立政治大學,02221020,歷史學系,D 日,M 碩士,13,5,15,1,11,3,13,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般,52,17,69
1,國立政治大學,02221020,歷史學系,D 日,B 學士,23,25,21,11,23,10,35,10,0,0,0,0,0,0,9,3,30 臺北市,1 一般,111,59,170
