"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間_進修別","等級別","上學年畢業生男","上學年畢業生女","縣市名稱","體系別"
109,0001,國立政治大學,01111001,教育學系,D 日,D 博士,7,9,30 臺北市,1 一般
109,0001,國立政治大學,01111001,教育學系,D 日,M 碩士,5,17,30 臺北市,1 一般
109,0001,國立政治大學,01111001,教育學系,D 日,B 學士,20,34,30 臺北市,1 一般
109,0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,8,8,30 臺北市,1 一般
109,0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,3,16,30 臺北市,1 一般
109,0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,2,5,30 臺北市,1 一般
109,0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,5,0,30 臺北市,1 一般
109,0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,4,0,30 臺北市,1 一般
109,0001,國立政治大學,02221020,歷史學系,D 日,D 博士,1,1,30 臺北市,1 一般
109,0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,9,2,30 臺北市,1 一般
109,0001,國立政治大學,02221020,歷史學系,D 日,B 學士,21,8,30 臺北市,1 一般
109,0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,1,1,30 臺北市,1 一般
109,0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,8,8,30 臺北市,1 一般
109,0001,國立政治大學,02222031,民族學系,D 日,D 博士,1,0,30 臺北市,1 一般
109,0001,國立政治大學,02222031,民族學系,D 日,M 碩士,2,4,30 臺北市,1 一般
109,0001,國立政治大學,02222031,民族學系,D 日,B 學士,13,19,30 臺北市,1 一般
109,0001,國立政治大學,02231022,哲學系,D 日,D 博士,5,0,30 臺北市,1 一般
109,0001,國立政治大學,02231022,哲學系,D 日,M 碩士,4,7,30 臺北市,1 一般
109,0001,國立政治大學,02231022,哲學系,D 日,B 學士,21,19,30 臺北市,1 一般
109,0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,1,4,30 臺北市,1 一般
109,0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,6,17,30 臺北市,1 一般
109,0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,22,47,30 臺北市,1 一般
109,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,2,9,30 臺北市,1 一般
109,0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,2,5,30 臺北市,1 一般
109,0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,4,19,30 臺北市,1 一般
109,0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,10,23,30 臺北市,1 一般
109,0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,2,8,30 臺北市,1 一般
109,0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,5,32,30 臺北市,1 一般
109,0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,5,20,30 臺北市,1 一般
109,0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,14,53,30 臺北市,1 一般
