學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別
112,1,國立政治大學,1111001,教育學系,D 日,D 博士,6,14,30 臺北市,1 一般
112,1,國立政治大學,1111001,教育學系,D 日,M 碩士,6,4,30 臺北市,1 一般
112,1,國立政治大學,1111001,教育學系,D 日,B 學士,17,32,30 臺北市,1 一般
112,1,國立政治大學,1114005,教育行政與政策研究所,D 日,M 碩士,6,7,30 臺北市,1 一般
112,1,國立政治大學,1114006,學校行政碩士在職專班,N 職,M 碩士,8,7,30 臺北市,1 一般
112,1,國立政治大學,1121004,幼兒教育研究所,D 日,M 碩士,0,11,30 臺北市,1 一般
112,1,國立政治大學,2211019,宗教研究所,D 日,D 博士,1,2,30 臺北市,1 一般
112,1,國立政治大學,2211019,宗教研究所,D 日,M 碩士,3,2,30 臺北市,1 一般
112,1,國立政治大學,2221020,歷史學系,D 日,D 博士,2,1,30 臺北市,1 一般
112,1,國立政治大學,2221020,歷史學系,D 日,M 碩士,11,4,30 臺北市,1 一般
112,1,國立政治大學,2221020,歷史學系,D 日,B 學士,22,12,30 臺北市,1 一般
112,1,國立政治大學,2221021,台灣史研究所,D 日,M 碩士,3,1,30 臺北市,1 一般
112,1,國立政治大學,2222031,民族學系,D 日,D 博士,0,1,30 臺北市,1 一般
112,1,國立政治大學,2222031,民族學系,D 日,M 碩士,3,0,30 臺北市,1 一般
112,1,國立政治大學,2222031,民族學系,D 日,B 學士,11,13,30 臺北市,1 一般
112,1,國立政治大學,2231022,哲學系,D 日,D 博士,2,2,30 臺北市,1 一般
112,1,國立政治大學,2231022,哲學系,D 日,M 碩士,4,2,30 臺北市,1 一般
112,1,國立政治大學,2231022,哲學系,D 日,B 學士,18,11,30 臺北市,1 一般
112,1,國立政治大學,2311009,英國語文學系,D 日,D 博士,1,4,30 臺北市,1 一般
112,1,國立政治大學,2311009,英國語文學系,D 日,M 碩士,1,14,30 臺北市,1 一般
112,1,國立政治大學,2311009,英國語文學系,D 日,B 學士,11,40,30 臺北市,1 一般
112,1,國立政治大學,2311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,2,5,30 臺北市,1 一般
112,1,國立政治大學,2311011,日本語文學系,D 日,M 碩士,1,2,30 臺北市,1 一般
112,1,國立政治大學,2311011,日本語文學系,D 日,B 學士,14,32,30 臺北市,1 一般
112,1,國立政治大學,2311012,阿拉伯語文學系,D 日,B 學士,9,12,30 臺北市,1 一般
112,1,國立政治大學,2311014,韓國語文學系,D 日,M 碩士,0,5,30 臺北市,1 一般
112,1,國立政治大學,2311014,韓國語文學系,D 日,B 學士,4,20,30 臺北市,1 一般
112,1,國立政治大學,2311015,土耳其語文學系,D 日,B 學士,5,11,30 臺北市,1 一般
112,1,國立政治大學,2311016,歐洲語文學系,D 日,B 學士,8,43,30 臺北市,1 一般
112,1,國立政治大學,2311017,斯拉夫語文學系,D 日,M 碩士,3,0,30 臺北市,1 一般
